구분,이탈리아어,한국어 뜻,성별,예문,예문 번역
읽기 어휘,visitare,방문하다,-,È necessario visitare questo compito.,이 작업을 방문하다는 것이 필요합니다.
읽기 어휘,scoprire,발견하다,-,È necessario scoprire questo compito.,이 작업을 발견하다는 것이 필요합니다.
읽기 어휘,affascinante,매력적인,-,È necessario affascinante questo compito.,이 작업을 매력적인는 것이 필요합니다.
읽기 어휘,diversificato,차별화된,m,Il diversificato è fondamentale per il successo.,diversificato(은)는 성공을 위해 필수적입니다.
읽기 어휘,stretto,좁은,m,Il stretto è fondamentale per il successo.,stretto(은)는 성공을 위해 필수적입니다.
읽기 어휘,bottega,가게,f,La bottega italiana è molto famosa.,이탈리아의 bottega(은)는 매우 유명합니다.
읽기 어휘,artigiano,장인의,m,Il artigiano è fondamentale per il successo.,artigiano(은)는 성공을 위해 필수적입니다.
읽기 어휘,cuoio,가죽,m,Il cuoio è fondamentale per il successo.,cuoio(은)는 성공을 위해 필수적입니다.
읽기 어휘,ceramico,세라믹,m,Il ceramico è fondamentale per il successo.,ceramico(은)는 성공을 위해 필수적입니다.
읽기 어휘,dipinto,그림이 새겨진,m,Il dipinto è fondamentale per il successo.,dipinto(은)는 성공을 위해 필수적입니다.
읽기 어휘,imbattersi,우연히마주하다,-,È necessario imbattersi questo compito.,이 작업을 우연히마주하다는 것이 필요합니다.
읽기 어휘,esporre,전시하다,-,È necessario esporre questo compito.,이 작업을 전시하다는 것이 필요합니다.
읽기 어휘,collezione,콜렉션,f,La collezione italiana è molto famosa.,이탈리아의 collezione(은)는 매우 유명합니다.
읽기 어휘,stilista,디자이너,f,La stilista italiana è molto famosa.,이탈리아의 stilista(은)는 매우 유명합니다.
읽기 어휘,boutique,부티크,-,È necessario boutique questo compito.,이 작업을 부티크는 것이 필요합니다.
읽기 어휘,stupito,놀란,m,Il stupito è fondamentale per il successo.,stupito(은)는 성공을 위해 필수적입니다.
읽기 어휘,capi d’abbigliamento,의류,m,Il capi d’abbigliamento è fondamentale per il successo.,capi d’abbigliamento(은)는 성공을 위해 필수적입니다.
읽기 어휘,esplorare,탐험하다,-,È necessario esplorare questo compito.,이 작업을 탐험하다는 것이 필요합니다.
읽기 어휘,immerso,몰입한,m,Il immerso è fondamentale per il successo.,immerso(은)는 성공을 위해 필수적입니다.
읽기 어휘,atmosfera,분위기,f,La atmosfera italiana è molto famosa.,이탈리아의 atmosfera(은)는 매우 유명합니다.
읽기 어휘,acquistare,구입하다,-,È necessario acquistare questo compito.,이 작업을 구입하다는 것이 필요합니다.
읽기 어휘,oggetti vintage,빈티지 상품,-,È necessario oggetti vintage questo compito.,이 작업을 빈티지 상품는 것이 필요합니다.
읽기 어휘,frugare,찾아다니다,-,È necessario frugare questo compito.,이 작업을 찾아다니다는 것이 필요합니다.
읽기 어휘,gastronomia,조리식품,f,La gastronomia italiana è molto famosa.,이탈리아의 gastronomia(은)는 매우 유명합니다.
읽기 어휘,esclusivo,비교불가한,m,Il esclusivo è fondamentale per il successo.,esclusivo(은)는 성공을 위해 필수적입니다.
관련 어휘,canottiera,메리야스형,f,La canottiera italiana è molto famosa.,이탈리아의 canottiera(은)는 매우 유명합니다.
읽기 어휘,cambiamento climatico,기후변화,m,Il cambiamento climatico è fondamentale per il successo.,cambiamento climatico(은)는 성공을 위해 필수적입니다.
읽기 어휘,urgente,긴급한,-,È necessario urgente questo compito.,이 작업을 긴급한는 것이 필요합니다.
읽기 어휘,pianeta,"지구, 행성",f,La pianeta italiana è molto famosa.,이탈리아의 pianeta(은)는 매우 유명합니다.
읽기 어휘,affrontare,직면하다,-,È necessario affrontare questo compito.,이 작업을 직면하다는 것이 필요합니다.
읽기 어휘,agire,행동에 나서다,-,È necessario agire questo compito.,이 작업을 행동에 나서다는 것이 필요합니다.
읽기 어휘,ridurre,줄이다,-,È necessario ridurre questo compito.,이 작업을 줄이다는 것이 필요합니다.
읽기 어휘,emissione,방출,f,La emissione italiana è molto famosa.,이탈리아의 emissione(은)는 매우 유명합니다.
읽기 어휘,gas serra,온실가스,f,La gas serra italiana è molto famosa.,이탈리아의 gas serra(은)는 매우 유명합니다.
읽기 어휘,effetto,효과,m,Il effetto è fondamentale per il successo.,effetto(은)는 성공을 위해 필수적입니다.
읽기 어휘,aumentare,증가하다,-,È necessario aumentare questo compito.,이 작업을 증가하다는 것이 필요합니다.
읽기 어휘,ghiaccio,얼음,m,Il ghiaccio è fondamentale per il successo.,ghiaccio(은)는 성공을 위해 필수적입니다.
읽기 어휘,calotte polari,극 빙하,-,È necessario calotte polari questo compito.,이 작업을 극 빙하는 것이 필요합니다.
읽기 어휘,sciogliersi,녹다,-,È necessario sciogliersi questo compito.,이 작업을 녹다는 것이 필요합니다.
읽기 어휘,ritmo,리듬,m,Il ritmo è fondamentale per il successo.,ritmo(은)는 성공을 위해 필수적입니다.
읽기 어휘,innalzamento,상승,m,Il innalzamento è fondamentale per il successo.,innalzamento(은)는 성공을 위해 필수적입니다.
읽기 어휘,livello di mare,해수면,-,È necessario livello di mare questo compito.,이 작업을 해수면는 것이 필요합니다.
읽기 어휘,sommergere,잠기다,-,È necessario sommergere questo compito.,이 작업을 잠기다는 것이 필요합니다.
읽기 어휘,costiero,해변의,m,Il costiero è fondamentale per il successo.,costiero(은)는 성공을 위해 필수적입니다.
읽기 어휘,urgano,허리케인,m,Il urgano è fondamentale per il successo.,urgano(은)는 성공을 위해 필수적입니다.
읽기 어휘,ondate di calore,열류,m,Il ondate di calore è fondamentale per il successo.,ondate di calore(은)는 성공을 위해 필수적입니다.
읽기 어휘,frequente,빈번한,-,È necessario frequente questo compito.,이 작업을 빈번한는 것이 필요합니다.
읽기 어휘,intenso,극심한,m,Il intenso è fondamentale per il successo.,intenso(은)는 성공을 위해 필수적입니다.
읽기 어휘,conseguenza,결과,f,La conseguenza italiana è molto famosa.,이탈리아의 conseguenza(은)는 매우 유명합니다.
읽기 어휘,devastante,황폐화된,-,È necessario devastante questo compito.,이 작업을 황폐화된는 것이 필요합니다.
읽기 어휘,alimentare,식품의,-,È necessario alimentare questo compito.,이 작업을 식품의는 것이 필요합니다.
읽기 어휘,limitare,제한하다,-,È necessario limitare questo compito.,이 작업을 제한하다는 것이 필요합니다.
읽기 어휘,peggiore,악화된,m,Il peggiore è fondamentale per il successo.,peggiore(은)는 성공을 위해 필수적입니다.
읽기 어휘,raggiungere,도달하다,-,È necessario raggiungere questo compito.,이 작업을 도달하다는 것이 필요합니다.
관련 어휘,riscaldamento globale,지구온난화,-,È necessario riscaldamento globale questo compito.,이 작업을 지구온난화는 것이 필요합니다.
관련 어휘,biosfera,생물권,f,La biosfera italiana è molto famosa.,이탈리아의 biosfera(은)는 매우 유명합니다.
관련 어휘,clima,기후,f,La clima italiana è molto famosa.,이탈리아의 clima(은)는 매우 유명합니다.
관련 어휘,meteorologia,기상학,f,La meteorologia italiana è molto famosa.,이탈리아의 meteorologia(은)는 매우 유명합니다.
관련 어휘,combustibili fossili,화석연료,-,È necessario combustibili fossili questo compito.,이 작업을 화석연료는 것이 필요합니다.
관련 어휘,energia,에너지,f,La energia italiana è molto famosa.,이탈리아의 energia(은)는 매우 유명합니다.
관련 어휘,aerosol,대기미립자,-,È necessario aerosol questo compito.,이 작업을 대기미립자는 것이 필요합니다.
관련 어휘,livelli di mare,해수면,-,È necessario livelli di mare questo compito.,이 작업을 해수면는 것이 필요합니다.
관련 어휘,inquinamento,오염,m,Il inquinamento è fondamentale per il successo.,inquinamento(은)는 성공을 위해 필수적입니다.
관련 어휘,ozono,오존,m,Il ozono è fondamentale per il successo.,ozono(은)는 성공을 위해 필수적입니다.
관련 어휘,ecosistema,생태계,f,La ecosistema italiana è molto famosa.,이탈리아의 ecosistema(은)는 매우 유명합니다.
관련 어휘,effetto serra,온실효과,f,La effetto serra italiana è molto famosa.,이탈리아의 effetto serra(은)는 매우 유명합니다.
관련 어휘,idrosfera,성층권,f,La idrosfera italiana è molto famosa.,이탈리아의 idrosfera(은)는 매우 유명합니다.
관련 어휘,rifiuti,쓰레기,-,È necessario rifiuti questo compito.,이 작업을 쓰레기는 것이 필요합니다.
읽기 어휘,relativamente,상대적으로,-,È necessario relativamente questo compito.,이 작업을 상대적으로는 것이 필요합니다.
읽기 어휘,sfida,도전,f,La sfida italiana è molto famosa.,이탈리아의 sfida(은)는 매우 유명합니다.
읽기 어휘,mercato di lavoro,노동시장,m,Il mercato di lavoro è fondamentale per il successo.,mercato di lavoro(은)는 성공을 위해 필수적입니다.
읽기 어휘,crisi finanziaria,재정위기,f,La crisi finanziaria italiana è molto famosa.,이탈리아의 crisi finanziaria(은)는 매우 유명합니다.
읽기 어휘,impatto,충격,m,Il impatto è fondamentale per il successo.,impatto(은)는 성공을 위해 필수적입니다.
읽기 어휘,essenziale,필수적인,-,È necessario essenziale questo compito.,이 작업을 필수적인는 것이 필요합니다.
읽기 어휘,politica,정책,f,La politica italiana è molto famosa.,이탈리아의 politica(은)는 매우 유명합니다.
읽기 어휘,stimolare,자극하다,-,È necessario stimolare questo compito.,이 작업을 자극하다는 것이 필요합니다.
읽기 어휘,crescita,성장,f,La crescita italiana è molto famosa.,이탈리아의 crescita(은)는 매우 유명합니다.
읽기 어휘,posti di lavoro,일자리,m,Il posti di lavoro è fondamentale per il successo.,posti di lavoro(은)는 성공을 위해 필수적입니다.
읽기 어휘,creare,창출하다,-,È necessario creare questo compito.,이 작업을 창출하다는 것이 필요합니다.
읽기 어휘,azienda,기업,f,La azienda italiana è molto famosa.,이탈리아의 azienda(은)는 매우 유명합니다.
읽기 어휘,supporto,지원,m,Il supporto è fondamentale per il successo.,supporto(은)는 성공을 위해 필수적입니다.
읽기 어휘,espandersi,팽창하다,-,È necessario espandersi questo compito.,이 작업을 팽창하다는 것이 필요합니다.
읽기 어휘,assumere,채용하다,-,È necessario assumere questo compito.,이 작업을 채용하다는 것이 필요합니다.
읽기 어휘,annunciare,알리다,-,È necessario annunciare questo compito.,이 작업을 알리다는 것이 필요합니다.
읽기 어휘,piano,계획,m,Il piano è fondamentale per il successo.,piano(은)는 성공을 위해 필수적입니다.
읽기 어휘,pandemia,팬데믹,f,La pandemia italiana è molto famosa.,이탈리아의 pandemia(은)는 매우 유명합니다.
읽기 어휘,misura,대응책,f,La misura italiana è molto famosa.,이탈리아의 misura(은)는 매우 유명합니다.
읽기 어휘,proteggere,보호하다,-,È necessario proteggere questo compito.,이 작업을 보호하다는 것이 필요합니다.
읽기 어휘,impresa,기업,f,La impresa italiana è molto famosa.,이탈리아의 impresa(은)는 매우 유명합니다.
읽기 어휘,auspicabile,희망적인,-,È necessario auspicabile questo compito.,이 작업을 희망적인는 것이 필요합니다.
읽기 어휘,investire,투자하다,-,È necessario investire questo compito.,이 작업을 투자하다는 것이 필요합니다.
관련 어휘,curriculum vitae,이력서,-,È necessario curriculum vitae questo compito.,이 작업을 이력서는 것이 필요합니다.
관련 어휘,candidati,지원자,-,È necessario candidati questo compito.,이 작업을 지원자는 것이 필요합니다.
관련 어휘,domanda,지원서,f,La domanda italiana è molto famosa.,이탈리아의 domanda(은)는 매우 유명합니다.
관련 어휘,sede,근무지 위치,-,È necessario sede questo compito.,이 작업을 근무지 위치는 것이 필요합니다.
관련 어휘,mansione,임무,f,La mansione italiana è molto famosa.,이탈리아의 mansione(은)는 매우 유명합니다.
관련 어휘,interesse,관심,-,È necessario interesse questo compito.,이 작업을 관심는 것이 필요합니다.
관련 어휘,selezionatore,채용관,m,Il selezionatore è fondamentale per il successo.,selezionatore(은)는 성공을 위해 필수적입니다.
관련 어휘,assunzione,채용,f,La assunzione italiana è molto famosa.,이탈리아의 assunzione(은)는 매우 유명합니다.
관련 어휘,adeguato,적합한,m,Il adeguato è fondamentale per il successo.,adeguato(은)는 성공을 위해 필수적입니다.
관련 어휘,lavoro,"일, 직업",m,Il lavoro è fondamentale per il successo.,lavoro(은)는 성공을 위해 필수적입니다.
관련 어휘,occupazione,직업,f,La occupazione italiana è molto famosa.,이탈리아의 occupazione(은)는 매우 유명합니다.
관련 어휘,impiegati,직원,-,È necessario impiegati questo compito.,이 작업을 직원는 것이 필요합니다.
관련 어휘,direttore,장,m,Il direttore è fondamentale per il successo.,direttore(은)는 성공을 위해 필수적입니다.
관련 어휘,stipendio,급여,m,Il stipendio è fondamentale per il successo.,stipendio(은)는 성공을 위해 필수적입니다.
관련 어휘,disoccupati,실업자,-,È necessario disoccupati questo compito.,이 작업을 실업자는 것이 필요합니다.
관련 어휘,sobrio,단순한,m,Il sobrio è fondamentale per il successo.,sobrio(은)는 성공을 위해 필수적입니다.
관련 어휘,professionale,전문적인,-,È necessario professionale questo compito.,이 작업을 전문적인는 것이 필요합니다.
관련 어휘,laureati,대졸자,-,È necessario laureati questo compito.,이 작업을 대졸자는 것이 필요합니다.
관련 어휘,colleghi,동료,-,È necessario colleghi questo compito.,이 작업을 동료는 것이 필요합니다.
관련 어휘,contratto,계약서,m,Il contratto è fondamentale per il successo.,contratto(은)는 성공을 위해 필수적입니다.
관련 어휘,lavoratore,"노동자, 작업자",m,Il lavoratore è fondamentale per il successo.,lavoratore(은)는 성공을 위해 필수적입니다.
관련 어휘,licenziare,해고하다,-,È necessario licenziare questo compito.,이 작업을 해고하다는 것이 필요합니다.
관련 어휘,tirocinio,인턴십,m,Il tirocinio è fondamentale per il successo.,tirocinio(은)는 성공을 위해 필수적입니다.
관련 어휘,concorso,경쟁모집(공고),m,Il concorso è fondamentale per il successo.,concorso(은)는 성공을 위해 필수적입니다.
관련 어휘,tempo indeterminato,무기한,m,Il tempo indeterminato è fondamentale per il successo.,tempo indeterminato(은)는 성공을 위해 필수적입니다.
관련 어휘,scadenza,기한,f,La scadenza italiana è molto famosa.,이탈리아의 scadenza(은)는 매우 유명합니다.
읽기 어휘,culinario,"음식의, 요리의",m,Il culinario è fondamentale per il successo.,culinario(은)는 성공을 위해 필수적입니다.
읽기 어휘,autentico,"진짜의, 정통의",m,Il autentico è fondamentale per il successo.,autentico(은)는 성공을 위해 필수적입니다.
읽기 어휘,esperto,전문가,m,Il esperto è fondamentale per il successo.,esperto(은)는 성공을 위해 필수적입니다.
읽기 어휘,dettaglio,상세,m,Il dettaglio è fondamentale per il successo.,dettaglio(은)는 성공을 위해 필수적입니다.
읽기 어휘,gastronomico,미식의,m,Il gastronomico è fondamentale per il successo.,gastronomico(은)는 성공을 위해 필수적입니다.
읽기 어휘,chef,요리사,-,È necessario chef questo compito.,이 작업을 요리사는 것이 필요합니다.
읽기 어휘,ingrediente,식재료,-,È necessario ingrediente questo compito.,이 작업을 식재료는 것이 필요합니다.
읽기 어휘,valorozzare,가치를 높이다,-,È necessario valorozzare questo compito.,이 작업을 가치를 높이다는 것이 필요합니다.
읽기 어휘,sapore,맛,m,Il sapore è fondamentale per il successo.,sapore(은)는 성공을 위해 필수적입니다.
읽기 어휘,appassionato,열정적인,m,Il appassionato è fondamentale per il successo.,appassionato(은)는 성공을 위해 필수적입니다.
읽기 어휘,entusiasto,열광지지자,m,Il entusiasto è fondamentale per il successo.,entusiasto(은)는 성공을 위해 필수적입니다.
읽기 어휘,orecchiette,귀모양 파스타,-,È necessario orecchiette questo compito.,이 작업을 귀모양 파스타는 것이 필요합니다.
읽기 어휘,cavatelli,"조개껍질모양 파스타,",-,È necessario cavatelli questo compito.,"이 작업을 조개껍질모양 파스타,는 것이 필요합니다."
읽기 어휘,tortellini,만두모양 파스타,-,È necessario tortellini questo compito.,이 작업을 만두모양 파스타는 것이 필요합니다.
읽기 어휘,gnocchi,수제비모양 파스타,-,È necessario gnocchi questo compito.,이 작업을 수제비모양 파스타는 것이 필요합니다.
읽기 어휘,crosta,"껍질, 표면",f,La crosta italiana è molto famosa.,이탈리아의 crosta(은)는 매우 유명합니다.
읽기 어휘,soffice,부드러운,-,È necessario soffice questo compito.,이 작업을 부드러운는 것이 필요합니다.
읽기 어휘,brodo,수프,m,Il brodo è fondamentale per il successo.,brodo(은)는 성공을 위해 필수적입니다.
읽기 어휘,bruciato,탄,m,Il bruciato è fondamentale per il successo.,bruciato(은)는 성공을 위해 필수적입니다.
읽기 어휘,passione,열정,f,La passione italiana è molto famosa.,이탈리아의 passione(은)는 매우 유명합니다.
읽기 어휘,orgoglio,자부심,m,Il orgoglio è fondamentale per il successo.,orgoglio(은)는 성공을 위해 필수적입니다.
읽기 어휘,formaggio,치즈,m,Il formaggio è fondamentale per il successo.,formaggio(은)는 성공을 위해 필수적입니다.
읽기 어휘,rinomato,"유명한, 이름있는",m,Il rinomato è fondamentale per il successo.,rinomato(은)는 성공을 위해 필수적입니다.
읽기 어휘,condivisione,"나눔, 공유",f,La condivisione italiana è molto famosa.,이탈리아의 condivisione(은)는 매우 유명합니다.
읽기 어휘,preservare,보전하다,-,È necessario preservare questo compito.,이 작업을 보전하다는 것이 필요합니다.
